,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,4969.925,92.37349565540634,1342.78125,2020-08-04 12:18:00,2020-08-04 12:24:00,0 days 00:06:00,-37447.01986133579,1342.78125,9223.641455499459
1,1,0 days 00:06:00,2683.7000000000007,9.697488723692757,-47.91874999999982,2020-08-08 02:10:00,2020-08-08 02:16:00,0 days 00:30:00,-274.6672799455364,-77.86666666666618,287.3640017368341
2,2,0 days 01:06:00,12917.7,99.98045699668543,-62.94705882352938,2020-08-13 10:06:00,2020-08-13 11:12:00,0 days 01:26:00,438.37207695298,500.29090909090905,-317.98770077490315
3,3,0 days 01:14:00,8221.958333333334,61.17490590956157,-38.3125,2020-08-19 06:06:00,2020-08-19 07:20:00,0 days 03:14:00,383.2727594395592,260.2632192460318,-221.860869800594
4,4,0 days 00:28:00,3746.25,28.477115687213512,-41.59499999999995,2020-08-23 09:28:00,2020-08-23 09:56:00,0 days 00:36:00,-2465.3796871333107,234.81875000000005,528.4764719529954
5,5,0 days 00:26:00,19581.6,99.5980544870776,-163.94107142857152,2020-08-23 15:04:00,2020-08-23 15:30:00,0 days 00:44:00,-4418.7424336714375,1736.0275000000001,-406.84891598728234
6,6,0 days 02:30:00,12821.675000000001,99.99688038012569,-22.244407894736863,2020-08-24 10:12:00,2020-08-24 12:42:00,0 days 04:40:00,4187.332490222951,247.46611111111108,-1669.4563707175416
7,7,0 days 00:06:00,1705.875,6.846002811240552,-38.36250000000018,2020-08-24 18:42:00,2020-08-24 18:48:00,0 days 00:28:00,1367.3426756145818,-64.75,144.6459016038994
8,8,0 days 00:08:00,2307.7000000000007,19.036149050646628,-483.31500000000017,2020-08-28 06:10:00,2020-08-28 06:18:00,0 days 00:30:00,-2024.2533286550697,-221.39435483871057,-101.95415687375396
9,9,0 days 00:06:00,6870.425,58.33950728668018,39.88124999999991,2020-09-03 12:32:00,2020-09-03 12:38:00,0 days 00:08:00,-1227.535551620023,17.650000000000244,-376.43754334141124
10,10,0 days 00:18:00,10897.350000000002,54.07973241391974,-441.50714285714275,2020-09-03 17:32:00,2020-09-03 17:50:00,0 days 01:22:00,1136.4476160683935,-204.8375000000001,-1808.1286759607751
11,11,0 days 00:06:00,1676.4000000000015,8.607539041741234,164.96875,2020-09-03 18:06:00,2020-09-03 18:12:00,0 days 00:06:00,-3371.212553076737,164.45000000000073,614.8126628260504
12,12,0 days 00:08:00,9699.3,48.87885484200155,-58.01999999999971,2020-09-03 18:24:00,2020-09-03 18:32:00,0 days 00:10:00,-2196.334373094628,-94.54374999999982,1786.3737917647823
13,13,0 days 00:06:00,1674.574999999999,10.104860766444546,-43.59375,2020-10-14 00:20:00,2020-10-14 00:26:00,0 days 07:06:00,910.3486253572983,-65.61666666666618,-272.1500402004601
14,14,0 days 02:08:00,11354.650000000001,99.98855225674646,-23.055769230769204,2020-10-16 13:34:00,2020-10-16 15:42:00,0 days 02:36:00,-1229.9486709597556,533.0683333333333,-969.9140160424395
15,15,0 days 01:50:00,8501.2,96.46915975874767,-21.676968864468904,2020-10-26 09:26:00,2020-10-26 11:16:00,0 days 02:08:00,1939.1800572694683,357.4075,3.5513196800212086
16,16,0 days 00:08:00,1567.4000000000015,7.267542614048011,-111.9199999999997,2020-10-31 19:22:00,2020-10-31 19:30:00,0 days 09:16:00,1459.185197576884,-132.375,-1082.922688350188
17,17,0 days 00:06:00,2406.2999999999993,11.656001898829217,-74.42804487179455,2020-10-31 19:54:00,2020-10-31 20:00:00,0 days 07:38:00,-1475.804548632218,-82.17499999999927,-940.2653262171706
18,18,0 days 00:04:00,1205.75,8.729459164484155,-230.64999999999964,2020-10-31 23:00:00,2020-10-31 23:04:00,0 days 00:48:00,-10624.032006259462,-71.92499999999927,-2835.402014309964
19,19,0 days 00:32:00,13782.527564102564,99.78354680009168,-82.55735294117655,2020-10-31 23:00:00,2020-10-31 23:32:00,0 days 00:44:00,-10624.032006259462,1613.05,-1054.3285539054
20,20,0 days 00:20:00,1972.3,99.8418061936039,-193.9090909090909,2020-11-02 09:50:00,2020-11-02 10:10:00,0 days 02:14:00,-10462.720213162494,-0.2333333333333334,-3577.4135647709663
21,21,0 days 00:58:00,2559.7999999999993,17.042439656062015,-13.674166666666679,2020-11-10 18:00:00,2020-11-10 18:58:00,0 days 01:26:00,-4604.439458775197,139.22666666666663,-540.0068794391495
22,22,0 days 00:54:00,8664.575,99.26222723744769,-45.515178571428514,2020-11-11 12:08:00,2020-11-11 13:02:00,0 days 01:20:00,-1991.8290603502319,570.6,-453.2363081669207
23,23,0 days 00:08:00,1357.375,99.67140287109447,54.26230769230767,2020-11-12 10:20:00,2020-11-12 10:28:00,0 days 00:08:00,-11897.97225216152,311.8901709401709,898.5776213852525
24,24,0 days 00:08:00,3021.274999999998,10.682640256558031,-582.9450000000004,2020-11-17 23:44:00,2020-11-17 23:52:00,0 days 01:06:00,4604.456216838244,-747.34375,-1067.8517606076173
25,25,0 days 00:18:00,10319.525,91.54459788825633,-154.7375,2020-11-18 08:06:00,2020-11-18 08:24:00,0 days 01:04:00,-2444.4306498878504,602.5718750000001,-263.3855025142857
26,26,0 days 00:08:00,3115.675000000003,8.020142542271998,-351.7099999999991,2020-11-22 04:38:00,2020-11-22 04:46:00,0 days 05:04:00,1774.0086119976045,-405.1749999999993,-788.8707768403132
