,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,9586.0,8.32002499652826,-2374.0,2007-08-17 07:00:00,2007-08-17 07:06:00,0 days 01:04:00,-23770.53191946871,-805.0,-6350.954661493843
1,1,0 days 00:12:00,31161.0,18.437152391546164,-315.2857142857143,2007-08-18 02:20:00,2007-08-18 02:32:00,0 days 00:26:00,-30007.100628394153,3346.4,-2185.671991086243
2,2,0 days 00:08:00,10998.0,8.912407516956904,-1515.4,2007-08-20 05:54:00,2007-08-20 06:02:00,0 days 00:26:00,-19800.431760374213,-1867.0,-1541.3919000601118
3,3,0 days 00:26:00,115681.0,68.47257983367368,-1165.357142857143,2007-08-20 15:58:00,2007-08-20 16:24:00,1 days 00:02:00,25752.340801986706,3672.818181818182,-16670.649668358383
4,4,0 days 00:12:00,81476.0,57.35807614327551,12683.42857142857,2007-08-20 16:06:00,2007-08-20 16:18:00,0 days 00:12:00,-180096.26290507516,12683.42857142857,47519.89288751776
5,5,0 days 00:06:00,15976.0,14.822374585973677,-118.75,2007-08-22 11:08:00,2007-08-22 11:14:00,0 days 00:12:00,-2002.7706612995098,9.666666666666666,-829.7468257267561
6,6,0 days 00:22:00,55174.0,51.25646814005555,-612.4166666666666,2007-08-24 10:42:00,2007-08-24 11:04:00,0 days 00:28:00,7944.52933124813,3459.0,-4377.680205516539
7,7,0 days 00:48:00,158622.0,84.98639120464628,-1078.6,2007-08-24 19:48:00,2007-08-24 20:36:00,0 days 01:06:00,-25062.841676767217,2863.3636363636365,-17829.12138452151
8,8,0 days 00:40:00,119967.0,92.75607719428466,-796.5238095238095,2007-08-28 14:30:00,2007-08-28 15:10:00,1 days 00:02:00,15342.228501174332,-861.7,-19265.43768928721
9,9,0 days 00:08:00,7111.0,8.448177541225107,-250.0,2007-08-30 07:24:00,2007-08-30 07:32:00,0 days 00:14:00,-18461.10769159285,-219.0,-418.44427192292824
10,10,0 days 00:06:00,9358.0,5.6566364834314555,-2572.0,2007-08-31 02:40:00,2007-08-31 02:46:00,1 days 02:10:00,23542.24353683544,-6524.0,-5404.819024261033
11,11,0 days 00:16:00,9358.0,5.6566364834314555,-689.7777777777778,2007-08-31 02:40:00,2007-08-31 02:56:00,1 days 02:10:00,23542.24353683544,-407.3333333333333,-2719.867780343343
12,12,1 days 06:06:00,2475.0295383999182,1.962513115211479,-2.740896498781751,2007-10-01 21:40:00,2007-10-03 03:46:00,1 days 10:04:00,-0.005031966146059281,-2.740896498784423,-0.010601252929094925
13,13,1 days 06:34:00,2513.4020893828565,2.0281135303211784,-2.740896498781744,2007-10-03 00:16:00,2007-10-04 06:50:00,1 days 10:26:00,-0.03276436219233247,-2.740896498784423,-0.0691613727394646
14,14,1 days 06:16:00,2488.734020893826,2.045485867678991,-2.7408964987817495,2007-10-04 03:44:00,2007-10-05 10:00:00,1 days 10:16:00,-0.23102007248966194,-2.740896498769871,-0.39651567959144
15,15,1 days 06:06:00,2475.0295383999182,2.0718407282013658,-2.740896498781751,2007-10-05 06:36:00,2007-10-06 12:42:00,1 days 09:52:00,-1.2890137444650838,-2.740896498784423,-2.207771015761749
16,16,1 days 05:52:00,2455.843262908442,2.0949052220927626,-2.740896498781746,2007-10-06 09:44:00,2007-10-07 15:36:00,1 days 10:22:00,-7.577688785608668,-2.740896498784423,-11.616390653285496
17,17,1 days 05:54:00,2458.584159407241,2.1378301595156017,-2.740896498781749,2007-10-07 12:48:00,2007-10-08 18:42:00,1 days 09:36:00,-39.738536329457695,-2.740896498784423,-71.48852816002668
18,18,1 days 04:54:00,2376.3572644437663,2.1058291427656,-2.7408964987817406,2007-10-08 15:02:00,2007-10-09 19:56:00,1 days 10:32:00,-223.51748786182242,-2.740896498769871,-305.32734632806336
19,19,1 days 00:26:00,2009.0771336070175,1.815190733403952,-2.7408964987817463,2007-10-09 17:22:00,2007-10-10 17:48:00,1 days 11:38:00,-1051.1665113267695,-2.740896498784423,-1108.0209062148697
20,20,1 days 03:42:00,2277.6849904876435,2.0627292416280625,-2.7408964987817646,2007-10-09 20:32:00,2007-10-11 00:14:00,1 days 08:26:00,-1112.4196702414924,-2.740896498784423,-3081.5693517698965
21,21,1 days 02:24:00,2170.790027035153,2.0026585111419593,-2.7408964987817437,2007-10-10 21:10:00,2007-10-11 23:34:00,1 days 07:50:00,-7434.182690778764,-2.740896498784423,-9904.17277651853
22,22,0 days 00:40:00,59722.0,87.90791468566466,-572.4285714285714,2007-10-16 11:48:00,2007-10-16 12:28:00,0 days 14:04:00,11920.933416212465,644.2222222222222,-9963.758639629486
23,23,0 days 00:26:00,91362.0,83.4318067668143,-936.3571428571429,2007-10-22 15:06:00,2007-10-22 15:32:00,0 days 01:38:00,-12389.567908172805,972.6363636363636,-11784.250426768354
24,24,0 days 00:08:00,6993.0,3.8566323266638705,1255.8,2007-10-23 23:10:00,2007-10-23 23:18:00,0 days 00:08:00,4881.77216041401,1255.8,2459.8332465932463
25,25,0 days 00:06:00,9706.0,5.342183767599039,-2137.5,2007-10-23 23:20:00,2007-10-23 23:26:00,0 days 15:48:00,18746.3414283019,-2970.6666666666665,-5993.565636087132
26,26,0 days 00:06:00,9548.0,3.8862771434967556,-2325.75,2007-10-27 20:22:00,2007-10-27 20:28:00,6 days 19:48:00,63080.2744516421,-479.0,-6887.735617191425
27,27,0 days 00:08:00,6589.0,7.218448729184928,-657.0,2007-10-29 10:48:00,2007-10-29 10:56:00,0 days 00:14:00,8022.607691969519,-287.25,-1621.074055801762
28,28,0 days 00:10:00,35395.0,37.06437965988104,-5867.0,2007-10-29 12:02:00,2007-10-29 12:12:00,0 days 09:48:00,12571.427909222191,-4651.0,-25799.08603992794
29,29,0 days 00:06:00,23307.0,29.7453895730968,4563.5,2007-10-29 12:14:00,2007-10-29 12:20:00,0 days 00:06:00,-65514.86446450552,4563.5,14526.204811272735
30,30,0 days 00:08:00,13551.0,7.685022401179609,-2657.2,2007-10-30 22:30:00,2007-10-30 22:38:00,0 days 00:46:00,10793.041249732203,-7845.0,-3546.5995196554722
31,31,0 days 00:06:00,7845.0,4.597829144786189,-119.0,2007-10-30 22:36:00,2007-10-30 22:42:00,0 days 00:06:00,2106.587353141331,-207.0,1994.4543348848383
32,32,0 days 00:10:00,8763.0,5.284136134494318,-676.5,2007-10-30 23:00:00,2007-10-30 23:10:00,0 days 00:06:00,9972.546903482784,-630.4,-402.0503685511021
33,33,0 days 00:10:00,6565.0,3.848070103455342,-850.8333333333334,2007-11-01 23:32:00,2007-11-01 23:42:00,0 days 00:32:00,27126.19942040208,-1081.6,-1450.6349862954794
34,34,0 days 00:40:00,65160.0,84.42492323240175,-438.6190476190476,2007-11-05 12:56:00,2007-11-05 13:36:00,0 days 04:34:00,2683.4781887039862,1808.3529411764705,-18120.660510139172
35,35,0 days 00:06:00,8089.0,4.93270808051858,-741.5,2007-11-05 23:38:00,2007-11-05 23:44:00,0 days 00:06:00,31784.723794429585,175.66666666666666,-157.67095799190065
36,36,0 days 00:32:00,98369.0,66.74741306191689,-1132.9411764705883,2007-11-06 17:26:00,2007-11-06 17:58:00,0 days 00:54:00,11887.746336113429,3165.214285714286,-13496.966064334945
37,37,0 days 00:10:00,9309.0,5.588708515441141,-290.6666666666667,2007-11-09 02:10:00,2007-11-09 02:20:00,0 days 00:32:00,22040.76088281315,-412.4,-1495.5222859236947
38,38,0 days 00:06:00,55601.0,87.04793812818987,-13729.5,2007-11-12 12:06:00,2007-11-12 12:12:00,0 days 00:30:00,-39305.267489248225,-41310.0,-36719.221514957295
39,39,0 days 00:18:00,41310.0,83.31484581408951,-1056.6,2007-11-12 12:10:00,2007-11-12 12:28:00,0 days 00:24:00,-55942.952870387395,-621.6666666666666,-8871.21743696235
40,40,0 days 00:36:00,57984.0,86.01563543041937,-526.7368421052631,2007-11-13 12:32:00,2007-11-13 13:08:00,1 days 00:04:00,37324.92544119778,285.1764705882353,-14898.390945877718
41,41,0 days 04:22:00,170322.0,100.0,-609.5075757575758,2007-11-19 02:20:00,2007-11-19 06:42:00,0 days 04:18:00,26561.019122295867,734.5409836065573,-1040.2176637138646
42,42,0 days 00:12:00,41333.0,100.0,5904.714285714285,2007-11-19 05:32:00,2007-11-19 05:44:00,0 days 00:12:00,-214432.22747962823,5904.714285714285,36438.56802219878
43,43,0 days 00:10:00,8579.0,12.444876407102228,-80.33333333333333,2007-11-19 12:24:00,2007-11-19 12:34:00,0 days 00:16:00,25483.642090814,1651.75,-899.3840087191638
44,44,0 days 00:36:00,72041.0,86.0725465363569,-579.0526315789474,2007-11-20 13:38:00,2007-11-20 14:14:00,0 days 09:06:00,5080.936343769492,2059.375,-16673.517570163905
45,45,0 days 00:20:00,61986.0,44.2836220753706,-856.6363636363636,2007-11-20 17:28:00,2007-11-20 17:48:00,0 days 00:40:00,-53214.67177832787,5910.25,-8108.361560927802
46,46,0 days 00:08:00,40860.0,34.37975919023299,7200.0,2007-11-20 17:34:00,2007-11-20 17:42:00,0 days 00:08:00,-149499.9911741676,7200.0,18349.17614611164
47,47,0 days 00:06:00,41970.0,38.98275173457919,-10312.75,2007-11-26 15:50:00,2007-11-26 15:56:00,0 days 06:24:00,-9442.836700052325,-27206.0,-53658.35070477235
48,48,0 days 00:20:00,79930.0,86.03967749921958,-1381.6363636363637,2007-11-26 15:54:00,2007-11-26 16:14:00,0 days 00:34:00,-27966.992622440877,1837.4444444444443,-13580.273781904856
49,49,0 days 00:24:00,93114.0,65.15751612948372,-1087.1538461538462,2007-11-26 18:50:00,2007-11-26 19:14:00,0 days 01:44:00,-28831.89374551581,7057.111111111111,-10045.704150035413
50,50,0 days 00:30:00,51975.0,83.45107735782409,-524.75,2007-11-28 12:02:00,2007-11-28 12:32:00,0 days 01:00:00,3205.35455991287,1711.3076923076924,-10407.32081497513
51,51,0 days 00:18:00,63554.0,55.57022567698724,-763.3,2007-11-29 16:22:00,2007-11-29 16:40:00,0 days 00:50:00,-3420.550334048673,4856.571428571428,-9434.83813268467
52,52,0 days 00:10:00,9694.0,7.084600093545362,-1398.6666666666667,2007-12-05 04:08:00,2007-12-05 04:18:00,0 days 02:30:00,5930.696398875738,-1393.8,-1975.7315985351238
53,53,0 days 00:06:00,7420.0,3.949476508066624,329.25,2007-12-07 21:28:00,2007-12-07 21:34:00,0 days 00:08:00,-27303.43580196864,142.0,1027.959752818363
54,54,0 days 00:06:00,9264.0,4.409475803572704,824.75,2007-12-07 22:16:00,2007-12-07 22:22:00,0 days 00:06:00,13156.30519768285,923.6666666666666,2296.3285054234902
55,55,0 days 00:06:00,15653.0,7.298524721636795,516.5,2007-12-07 22:30:00,2007-12-07 22:36:00,0 days 00:06:00,22584.29112130982,562.3333333333334,1686.2414769549114
56,56,0 days 00:06:00,18124.0,8.313113197594674,-0.75,2007-12-07 22:54:00,2007-12-07 23:00:00,0 days 00:06:00,31072.374120034638,-176.33333333333334,1015.7551946803778
57,57,0 days 00:06:00,18068.0,8.303728589220967,142.75,2007-12-07 23:06:00,2007-12-07 23:12:00,0 days 00:06:00,34690.78585837346,33.333333333333336,-3619.6050950985036
58,58,0 days 00:06:00,19161.0,8.810789434961748,-75.75,2007-12-07 23:14:00,2007-12-07 23:20:00,0 days 00:06:00,37358.80554905214,-204.66666666666666,-219.70862690061222
59,59,0 days 00:06:00,7820.0,3.742163946978039,-248.25,2007-12-08 00:04:00,2007-12-08 00:10:00,0 days 00:06:00,29206.81324847464,-211.0,192.27998805318202
60,60,0 days 00:50:00,70999.0,95.6267004283059,-398.38461538461536,2007-12-10 12:28:00,2007-12-10 13:18:00,0 days 01:42:00,16078.0552751746,763.1304347826087,-13244.133409439779
61,61,0 days 00:16:00,47695.0,65.19896654956051,-627.5555555555555,2007-12-11 14:06:00,2007-12-11 14:22:00,0 days 00:36:00,-10257.385987820933,1077.0,-5906.590049390101
62,62,0 days 00:06:00,30664.0,49.80428462375546,9027.75,2007-12-11 14:12:00,2007-12-11 14:18:00,0 days 00:06:00,-86885.9762600927,9027.75,16965.90872804173
63,63,0 days 00:04:00,6506.0,16.116326884490576,-114.33333333333333,2007-12-13 10:32:00,2007-12-13 10:36:00,0 days 01:50:00,-1030.2485308768591,-53.0,-414.1544853186254
64,64,0 days 00:22:00,15916.0,8.367461740259614,-60.5,2007-12-16 02:06:00,2007-12-16 02:28:00,0 days 00:24:00,-58357.033392853395,-116.54545454545455,836.3647549860252
65,65,0 days 00:20:00,70000.0,81.07669855683477,-818.7272727272727,2007-12-18 14:54:00,2007-12-18 15:14:00,0 days 00:28:00,-31731.482541775735,5549.0,-6418.907562831433
66,66,0 days 00:06:00,13307.0,7.300587580168212,-159.5,2007-12-22 01:46:00,2007-12-22 01:52:00,0 days 00:06:00,-11359.914925223748,77.0,-2574.997891639456
67,67,0 days 00:04:00,11093.0,6.085926055970987,2536.6666666666665,2007-12-22 01:50:00,2007-12-22 01:54:00,0 days 00:04:00,-29831.799008454087,2536.6666666666665,2988.699361907252
68,68,0 days 00:12:00,8083.0,4.4988033617187,-624.5714285714286,2007-12-22 02:00:00,2007-12-22 02:12:00,0 days 00:10:00,-18209.611200889976,-774.3333333333334,-1044.3392036495088
69,69,0 days 00:06:00,7021.0,5.156395737399109,-1029.75,2007-12-29 04:56:00,2007-12-29 05:02:00,0 days 00:16:00,-5200.700560334175,-1210.6666666666667,-620.1518268812679
70,70,0 days 00:06:00,9527.0,5.7321468324879845,-1854.25,2007-12-29 18:00:00,2007-12-29 18:06:00,0 days 07:02:00,-1552.8049085119492,-2609.6666666666665,-3173.828119180916
71,71,0 days 00:30:00,120462.0,81.12410853183022,-1053.625,2008-01-02 16:26:00,2008-01-02 16:56:00,0 days 01:18:00,16884.327447723288,7362.454545454545,-18614.457201187055
72,72,0 days 00:06:00,33171.0,79.44578832658732,-954.5,2008-01-08 14:30:00,2008-01-08 14:36:00,0 days 03:26:00,-21793.834176345998,-1178.3333333333333,-3303.4150202100254
73,73,0 days 00:10:00,7743.0,6.903222930504171,-879.1666666666666,2008-01-09 19:46:00,2008-01-09 19:56:00,0 days 00:20:00,-1437.6780406558028,346.25,-3745.1574783515593
74,74,0 days 00:16:00,6959.0,6.251628262138979,-73.11111111111111,2008-01-09 20:04:00,2008-01-09 20:20:00,0 days 00:08:00,-12399.391382021407,-883.1428571428571,431.84182474963245
75,75,0 days 00:04:00,7237.0,6.457744028126029,2250.6666666666665,2008-01-09 20:32:00,2008-01-09 20:36:00,0 days 00:04:00,-9625.596321893387,2250.6666666666665,3921.253752551631
76,76,0 days 00:12:00,8633.0,7.593055164649584,232.71428571428572,2008-01-09 20:38:00,2008-01-09 20:50:00,0 days 00:12:00,6887.177796826865,216.83333333333334,-1011.2977987835186
77,77,0 days 00:10:00,9362.0,8.141648331579546,513.1666666666666,2008-01-09 20:48:00,2008-01-09 20:58:00,0 days 00:10:00,-8446.805021925888,513.1666666666666,1298.1602214086136
