,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,4969.925,92.37349565540634,1342.78125,2020-08-04 12:18:00,2020-08-04 12:24:00,0 days 00:06:00,-167.385192606032,1342.78125,118.10188868408699
1,1,0 days 00:06:00,2683.7000000000007,9.697488723692757,-47.91874999999982,2020-08-08 02:10:00,2020-08-08 02:16:00,0 days 00:06:00,273.96274780128215,-77.86666666666618,140.15359543092552
2,2,0 days 00:12:00,412.1000000000022,1.326919299736943,-69.55000000000031,2020-08-11 20:58:00,2020-08-11 21:10:00,0 days 18:04:00,1463.4390104167094,-54.125,-2427.077292854877
3,3,0 days 00:18:00,1753.0141025641024,6.25597213050753,-57.27999999999993,2020-08-12 20:12:00,2020-08-12 20:30:00,0 days 00:08:00,-2026.1672128328487,-8.0,-1660.6144548710845
4,4,0 days 00:08:00,6620.450000000001,99.9618751391935,-1439.97,2020-08-13 10:22:00,2020-08-13 10:30:00,0 days 00:12:00,2109.2460355383073,-13.975,35.87774592958374
5,5,0 days 00:56:00,1300.125,8.592785728094228,-46.311206896551774,2020-08-21 05:38:00,2020-08-21 06:34:00,0 days 05:22:00,191.73458283111586,-105.45000000000073,-1098.7452407457147
6,6,0 days 01:28:00,419.25,3.092338671013522,-6.571666666666674,2020-08-21 08:06:00,2020-08-21 09:34:00,0 days 01:20:00,-3906.470267831794,13.255555555555475,258.3523153625215
7,7,0 days 00:12:00,3746.25,28.477115687213512,-507.69999999999993,2020-08-23 09:28:00,2020-08-23 09:40:00,6 days 18:28:00,1628.0927965887263,-28.03749999999991,-94.62863711422597
8,8,0 days 00:24:00,19581.6,99.5980544870776,-215.2057692307693,2020-08-23 15:04:00,2020-08-23 15:28:00,0 days 00:10:00,-1443.115233338296,1873.0861111111112,112.69801621814014
9,9,0 days 00:04:00,12859.2,93.80987727722872,4542.900000000001,2020-08-23 15:14:00,2020-08-23 15:18:00,0 days 00:14:00,-1484.1355821731504,4542.900000000001,41.639986060735794
10,10,0 days 00:06:00,1705.875,6.846002811240552,-38.36250000000018,2020-08-24 18:42:00,2020-08-24 18:48:00,0 days 18:44:00,800.7501803337686,-64.75,-56.89193443702544
11,11,0 days 00:08:00,2307.7000000000007,19.036149050646628,-483.31500000000017,2020-08-28 06:10:00,2020-08-28 06:18:00,0 days 00:04:00,-1630.1982958151243,-221.39435483871057,113.33165957835155
12,12,0 days 00:30:00,723.25,4.1506694443009735,48.3125,2020-09-02 13:48:00,2020-09-02 14:18:00,0 days 02:20:00,812.7674058267808,48.3125,-956.8639015051288
13,13,0 days 00:18:00,338.75,1.517537356057943,17.259999999999856,2020-09-02 17:58:00,2020-09-02 18:16:00,0 days 08:54:00,1130.5373168941364,34.94374999999991,-1320.433053171121
14,14,0 days 00:20:00,135.07500000000073,0.5914640020317563,6.363636363636363,2020-09-02 18:58:00,2020-09-02 19:18:00,0 days 01:18:00,-902.2748709009697,13.233333333333576,-654.8577341285322
15,15,0 days 00:06:00,6870.425,58.33950728668018,39.88124999999991,2020-09-03 12:32:00,2020-09-03 12:38:00,0 days 00:16:00,-952.8068729253957,17.650000000000244,5.289883225811991
16,16,0 days 00:10:00,10897.350000000002,54.07973241391974,-1006.570238095238,2020-09-03 17:32:00,2020-09-03 17:42:00,0 days 00:30:00,1895.7694003810584,-815.7625000000003,-418.21420545061613
17,17,0 days 00:04:00,2046.3750000000018,12.23504194935586,615.941666666667,2020-09-03 17:42:00,2020-09-03 17:46:00,0 days 00:20:00,1480.5259036756734,615.941666666667,-242.51207137339185
18,18,0 days 00:06:00,1676.4000000000015,8.607539041741234,164.96875,2020-09-03 18:06:00,2020-09-03 18:12:00,0 days 00:58:00,2831.7276212929255,164.45000000000073,81.91712546779979
19,19,0 days 00:08:00,9699.3,48.87885484200155,-58.01999999999971,2020-09-03 18:24:00,2020-09-03 18:32:00,0 days 00:38:00,1616.869254653997,-94.54374999999982,-398.3208091802686
20,20,0 days 00:16:00,893.1500000000015,4.75657914007185,-101.20555555555539,2020-09-04 02:42:00,2020-09-04 02:58:00,0 days 04:18:00,204.57352964315612,-166.15000000000146,-762.2888570618131
21,21,0 days 01:08:00,1101.3250000000007,5.26323335264847,28.936428571428614,2020-09-04 16:18:00,2020-09-04 17:26:00,0 days 01:18:00,-3483.619775578008,28.936428571428614,-929.3092523554446
22,22,0 days 00:10:00,84.19999999999891,0.609364455308139,10.05833333333309,2020-09-23 16:04:00,2020-09-23 16:14:00,0 days 00:16:00,-797.1454731121778,10.299102564102578,-800.9973999669746
23,23,0 days 03:06:00,5325.917948717949,42.64583418880631,-57.06117021276595,2020-09-24 02:56:00,2020-09-24 06:02:00,0 days 03:24:00,-1170.18462119202,-29.474999999999454,-622.9579463731421
24,24,0 days 01:50:00,802.0499999999993,4.518095195175746,-9.46875,2020-10-03 21:52:00,2020-10-03 23:42:00,0 days 01:58:00,-2764.9324527539275,4.51428571428568,-571.7509751557244
25,25,0 days 00:06:00,1674.574999999999,10.104860766444546,-43.59375,2020-10-14 00:20:00,2020-10-14 00:26:00,0 days 05:44:00,392.6592464999226,-65.61666666666618,-59.3650488156361
26,26,0 days 00:26:00,277.8249999999989,3.327275394689167,-13.532142857142844,2020-10-16 05:56:00,2020-10-16 06:22:00,0 days 02:16:00,-458.04240877405164,15.570000000000073,-870.1898732861318
27,27,0 days 00:06:00,3189.0249999999996,99.95925180036517,313.3937499999999,2020-10-16 15:12:00,2020-10-16 15:18:00,0 days 00:50:00,1035.479414117344,427.0833333333332,-20.423708386324392
28,28,0 days 00:52:00,491.65064102564065,2.289555866909481,-2.750925925925845,2020-10-16 20:42:00,2020-10-16 21:34:00,0 days 06:00:00,1996.0148678718342,25.318750000000136,-1733.6739307365406
29,29,0 days 00:06:00,47.17499999999927,0.577627716334888,-7.087499999999864,2020-10-19 09:28:00,2020-10-19 09:34:00,0 days 00:06:00,-1230.4647627533586,-15.349999999999758,-700.6145602053562
30,30,0 days 00:22:00,155.57500000000073,0.9659668594047162,13.814583333333303,2020-10-19 17:48:00,2020-10-19 18:10:00,0 days 02:46:00,1875.4401618135007,13.814583333333303,-2109.718414736106
31,31,0 days 00:08:00,68.25,0.4011402374515143,13.00500000000029,2020-10-19 21:46:00,2020-10-19 21:54:00,0 days 00:10:00,-274.8095947203001,13.00500000000029,-1719.5612118355896
32,32,0 days 01:26:00,2768.875,22.89092630177869,-63.90971736596736,2020-10-20 03:18:00,2020-10-20 04:44:00,0 days 01:40:00,-4844.442718918568,-11.024999999999636,-586.5774292752965
33,33,0 days 00:08:00,1567.4000000000015,7.267542614048011,-111.9199999999997,2020-10-31 19:22:00,2020-10-31 19:30:00,0 days 00:40:00,-351.38300304302265,-132.375,-176.61801782701156
