,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:08:00,2470.774999999994,2.981834616809607,-539.5716666666646,2020-08-06 22:08:00,2020-08-06 22:16:00,0 days 11:12:00,96.7786475695066,-27.0,-823.8221737960283
1,1,0 days 00:08:00,2422.6146616541373,3.90457257834467,-389.9149999999994,2020-08-10 04:18:00,2020-08-10 04:26:00,0 days 00:20:00,-6133.375816918213,-471.7322368421046,-73.13142585007472
2,2,0 days 00:08:00,9437.050000000003,11.543950910639438,-1979.8550000000018,2020-08-11 16:32:00,2020-08-11 16:40:00,0 days 03:32:00,195.8567834077911,-1646.050000000003,-10231.782452342946
3,3,0 days 03:08:00,32316.421153846153,35.151160096454674,100.61131578947365,2020-08-11 16:32:00,2020-08-11 19:40:00,0 days 03:32:00,195.8567834077911,674.6360201854883,-2857.123841074064
4,4,0 days 00:08:00,3877.4500000000116,4.758375124329888,-795.7400000000023,2020-08-11 20:52:00,2020-08-11 21:00:00,0 days 02:42:00,5321.889361052148,-59.5,-2678.804770421539
5,5,0 days 01:28:00,63870.85,65.21726033971338,-385.9883333333331,2020-08-12 20:02:00,2020-08-12 21:30:00,0 days 01:54:00,10031.956223503665,1134.5098684210527,-4679.567959631299
6,6,0 days 00:08:00,3107.899999999994,4.034889676361047,-168.05499999999884,2020-08-14 13:08:00,2020-08-14 13:16:00,0 days 00:20:00,2301.6346328556215,-197.34999999999854,-463.2000689401563
7,7,0 days 00:08:00,2207.800000000003,2.4735938423445276,-400.51000000000056,2020-08-17 21:36:00,2020-08-17 21:44:00,0 days 11:00:00,1813.6736505357294,-465.3875000000007,-1142.598090234171
8,8,0 days 00:14:00,2642.0250000000015,4.490435183127545,-175.86250000000018,2020-08-18 10:36:00,2020-08-18 10:50:00,0 days 02:40:00,263.97389435391227,-211.45000000000022,-1620.2187436706563
9,9,0 days 00:12:00,14957.550000000003,23.355799015101397,-534.8928571428571,2020-08-18 12:02:00,2020-08-18 12:14:00,0 days 00:58:00,-2393.172079739619,-624.0791666666664,-2364.0213770636956
10,10,0 days 00:36:00,17750.975000000006,26.55918145358271,-34.73947368421068,2020-08-18 12:02:00,2020-08-18 12:38:00,0 days 00:58:00,-2393.172079739619,-36.681944444444525,-2117.007141948742
11,11,0 days 00:34:00,19693.75,19.427184741367512,-339.50277777777796,2020-08-18 18:26:00,2020-08-18 19:00:00,0 days 06:56:00,1798.571099150813,683.7927272727277,-4783.218770613183
12,12,0 days 01:40:00,30074.750000000004,68.04080446052753,-71.90000000000003,2020-08-21 07:44:00,2020-08-21 09:24:00,0 days 01:54:00,-11919.773476261285,3292.86875,-5688.922274065331
13,13,0 days 00:30:00,25720.314743589755,28.098662837476567,-420.5390625,2020-08-24 15:44:00,2020-08-24 16:14:00,0 days 03:14:00,8049.9541157098865,822.119642857143,-4992.564070126206
14,14,0 days 00:36:00,45408.34999999999,45.635030605776535,-627.4434210526317,2020-08-24 19:40:00,2020-08-24 20:16:00,0 days 14:08:00,5629.232117214003,2074.92,-5853.718302874371
15,15,0 days 00:06:00,2690.881578947374,4.044332274921331,-580.7499999999982,2020-08-25 03:04:00,2020-08-25 03:10:00,0 days 06:42:00,-1864.6836365784366,-688.7855263157908,-869.5904011122699
16,16,0 days 00:22:00,4518.77375,9.578524610253467,-107.7229166666669,2020-08-26 06:38:00,2020-08-26 07:00:00,0 days 02:52:00,4456.068446740519,-106.44261363636377,-1393.222586461186
17,17,0 days 00:12:00,2362.2249999999985,4.515553711954425,-184.51071428571387,2020-08-26 08:20:00,2020-08-26 08:32:00,0 days 00:44:00,1546.049242549445,-247.8791666666657,-786.1058377306058
18,18,0 days 00:50:00,52749.343181818185,92.453457310409,-522.2942307692307,2020-08-26 09:44:00,2020-08-26 10:34:00,0 days 04:48:00,3511.424724560029,2710.985897435897,-8706.340441568533
19,19,0 days 00:32:00,17353.47499999999,17.859611937403002,-253.2455882352943,2020-08-28 16:58:00,2020-08-28 17:30:00,0 days 02:16:00,-2730.404455049327,802.8871428571427,-4417.670046294505
20,20,0 days 00:08:00,7759.050000000003,13.427289721890418,-1610.2199999999998,2020-08-29 06:58:00,2020-08-29 07:06:00,0 days 02:20:00,56.96003246807231,-674.0929487179455,-6774.954803873454
21,21,0 days 00:18:00,26456.925000000003,36.92039597052026,-1497.2075000000004,2020-08-30 10:00:00,2020-08-30 10:18:00,1 days 00:04:00,14502.804160800306,-534.6968750000005,-9943.870878057725
22,22,0 days 00:18:00,11993.575000000012,14.637561369577057,-278.9074999999997,2020-09-01 14:36:00,2020-09-01 14:54:00,0 days 06:36:00,-466.071207333498,309.2468750000007,-2783.7914997348876
23,23,0 days 00:20:00,26619.083333333336,37.02803395976204,-595.25,2020-09-05 11:08:00,2020-09-05 11:28:00,0 days 21:04:00,13727.703629411059,-655.6800000000003,-4843.021418949257
24,24,0 days 00:40:00,29528.27500000001,28.39935109510516,-449.6773809523812,2020-09-07 18:48:00,2020-09-07 19:28:00,12 days 04:28:00,34711.22061013302,734.8569444444446,-6877.188152770717
25,25,0 days 00:36:00,9670.299999999988,11.820054722588736,-434.22105263157954,2020-09-08 18:20:00,2020-09-08 18:56:00,0 days 00:32:00,-28169.903294732943,199.27249999999913,449.7429294632093
