,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 02:06:00,22129.721153846156,27.070367823222213,-112.86484375000009,2020-08-11 16:32:00,2020-08-11 18:38:00,0 days 03:32:00,195.8567834077911,932.9042467948716,-16464.898682121155
1,1,0 days 00:18:00,7.07499999999709,0.009434066045784562,-0.7649999999994179,2020-08-11 18:42:00,2020-08-11 19:00:00,0 days 00:50:00,-39818.814959926734,-4.1749999999883585,7479.626747247468
2,2,0 days 00:04:00,15938.074999999997,17.33613457032274,5545.024999999999,2020-08-11 19:34:00,2020-08-11 19:38:00,0 days 00:04:00,-39467.74876881467,5545.024999999999,16703.269814707266
3,3,0 days 01:58:00,63870.85,65.21726033971338,-185.11374999999995,2020-08-12 20:02:00,2020-08-12 22:00:00,0 days 01:54:00,10031.956223503665,931.5853773584904,-684.1638147716994
4,4,0 days 00:16:00,14957.550000000003,23.355799015101397,-214.4194444444446,2020-08-18 12:02:00,2020-08-18 12:18:00,0 days 00:58:00,-2393.172079739619,-241.25,-1536.6074467794326
5,5,0 days 00:28:00,15585.850000000006,16.024237071749667,-415.7950000000002,2020-08-18 18:28:00,2020-08-18 18:56:00,0 days 01:10:00,-1300.3239161239435,784.7146853146853,-4576.225029415609
6,6,0 days 01:40:00,30074.750000000004,68.04080446052753,-71.90000000000003,2020-08-21 07:44:00,2020-08-21 09:24:00,0 days 01:54:00,-11919.773476261285,3292.86875,-3502.9021810186136
7,7,0 days 00:38:00,25720.314743589755,28.098662837476567,-217.39500000000044,2020-08-24 15:44:00,2020-08-24 16:22:00,0 days 03:14:00,8049.9541157098865,771.6888888888885,-3720.3660030586375
8,8,0 days 00:04:00,8013.774999999994,10.51758979788768,3459.5382478632478,2020-08-24 15:50:00,2020-08-24 15:54:00,0 days 00:04:00,-41590.05738711421,3459.5382478632478,-4479.477501616956
9,9,0 days 01:08:00,45408.34999999999,45.635030605776535,-247.75285714285732,2020-08-24 19:40:00,2020-08-24 20:48:00,0 days 14:08:00,5629.232117214003,1108.8346774193549,-3142.2508471169485
10,10,0 days 00:06:00,15774.328030303033,27.647570096241353,-3886.2382575757583,2020-08-26 09:44:00,2020-08-26 09:50:00,0 days 06:02:00,3511.424724560029,-3697.501515151511,-21579.802004228175
11,11,0 days 01:02:00,52749.343181818185,92.453457310409,-244.66640625000002,2020-08-26 09:44:00,2020-08-26 10:46:00,0 days 04:48:00,3511.424724560029,2157.5337719298245,-4028.6309255185834
12,12,0 days 00:40:00,17353.47499999999,17.859611937403002,-132.60000000000028,2020-08-28 16:58:00,2020-08-28 17:38:00,0 days 02:16:00,-2730.404455049327,713.8885338345863,-3558.3129299791503
13,13,0 days 00:18:00,26456.925000000003,36.92039597052026,-1497.2075000000004,2020-08-30 10:00:00,2020-08-30 10:18:00,1 days 00:04:00,14502.804160800306,-534.6968750000005,-8831.250299454787
14,14,0 days 00:26:00,11993.575000000012,14.637561369577057,-99.05178571428509,2020-09-01 14:36:00,2020-09-01 15:02:00,0 days 06:36:00,-466.071207333498,323.0270833333343,-2147.21028371157
15,15,0 days 00:28:00,26619.083333333336,37.02803395976204,-240.78666666666686,2020-09-05 11:08:00,2020-09-05 11:36:00,0 days 21:04:00,13727.703629411059,-258.63214285714326,-3340.396450629454
16,16,0 days 00:40:00,29528.27500000001,28.39935109510516,-449.6773809523812,2020-09-07 18:48:00,2020-09-07 19:28:00,12 days 04:28:00,34711.22061013302,734.8569444444446,-6804.243151420344
17,17,0 days 00:06:00,8578.199999999997,10.485175581037893,-2302.631250000002,2020-09-08 18:20:00,2020-09-08 18:26:00,0 days 00:32:00,-28169.903294732943,-1089.9000000000087,-3152.8617929565553
18,18,0 days 00:36:00,9670.299999999988,11.820054722588736,-434.22105263157954,2020-09-08 18:20:00,2020-09-08 18:56:00,0 days 00:32:00,-28169.903294732943,199.27249999999913,1976.313521612935
19,19,0 days 00:24:00,8258.724999999991,9.318801581845605,-195.29807692307693,2020-09-17 18:06:00,2020-09-17 18:30:00,0 days 01:04:00,-4692.93545696625,-174.10833333333358,-1947.0785670465805
20,20,0 days 00:54:00,67491.0,100.0,-454.18411654135343,2020-09-20 23:06:00,2020-09-21 00:00:00,0 days 01:12:00,-3188.689777738286,2245.502272727273,-2015.2734912317
21,21,0 days 00:26:00,35249.34102564103,60.29585103280094,-386.80535714285725,2020-09-22 13:12:00,2020-09-22 13:38:00,0 days 01:30:00,-4501.466881316797,2320.949025974026,-3457.6529007386234
22,22,0 days 01:06:00,17269.9,26.848247061269774,-104.87867647058823,2020-10-01 21:22:00,2020-10-01 22:28:00,0 days 00:56:00,-8201.337208637453,647.3818181818183,2599.2808643599406
23,23,0 days 00:08:00,13732.849999999999,18.34245590977332,-2940.534999999999,2020-10-13 16:32:00,2020-10-13 16:40:00,0 days 03:52:00,1405.8669437774988,-661.4500000000044,-5291.771619702501
24,24,0 days 00:32:00,14703.849999999999,19.6393844197614,-193.6294117647057,2020-10-13 16:32:00,2020-10-13 17:04:00,0 days 03:52:00,1405.8669437774988,950.9145833333332,-2324.6131473007445
25,25,0 days 00:12:00,16090.322537112006,29.876798006083334,-1989.3714285714284,2020-10-17 06:14:00,2020-10-17 06:26:00,0 days 02:14:00,3499.1849596971224,222.04999999999927,-10814.333483428127
26,26,0 days 00:16:00,13304.050000000003,16.15586759135911,-450.0222222222235,2020-11-01 14:30:00,2020-11-01 14:46:00,0 days 00:26:00,11743.140153585828,972.6107142857135,1539.011971814322
27,27,0 days 00:44:00,32278.325000000004,36.71288335917568,-766.4695652173914,2020-11-09 18:28:00,2020-11-09 19:12:00,0 days 02:18:00,1810.8737831526414,247.57380952380967,-14302.700598314372
28,28,0 days 00:22:00,21061.975000000006,28.537888760093523,-458.5208333333333,2020-11-09 19:12:00,2020-11-09 19:34:00,0 days 00:26:00,-27953.927258259137,1407.3275,7539.884639114424
29,29,0 days 00:06:00,6070.178205128206,7.129297501882931,-1452.2687499999993,2020-11-21 03:20:00,2020-11-21 03:26:00,0 days 00:18:00,123.4361968464095,-1849.2510683760677,-2438.9841065881956
30,30,0 days 00:28:00,59625.025,53.413896834404895,-600.4383333333332,2020-11-27 18:56:00,2020-11-27 19:24:00,0 days 00:50:00,-1266.3208481505608,2584.346153846154,-1258.438723880523
31,31,0 days 00:36:00,35557.12500000001,38.31025302326384,-288.1947368421051,2020-11-28 00:12:00,2020-11-28 00:48:00,0 days 02:02:00,7432.138475248899,237.38970588235293,-3328.4259417826706
32,32,0 days 00:40:00,22536.55,43.989549418718134,-55.89047619047605,2020-12-04 12:32:00,2020-12-04 13:12:00,0 days 00:50:00,-23959.292188131963,2770.9857142857145,592.8791184133333
33,33,0 days 00:56:00,45670.675,41.778438957566976,-325.02844827586244,2020-12-17 19:34:00,2020-12-17 20:30:00,0 days 01:18:00,1897.8441945071609,1234.7999999999995,-3772.4770974369403
34,34,0 days 00:08:00,3658.25,4.026115133190871,753.8049999999988,2020-12-17 20:08:00,2020-12-17 20:16:00,0 days 00:10:00,-36593.930279103486,753.8049999999988,9009.024524803233
35,35,0 days 00:24:00,9989.674999999996,16.57994002646403,-133.14230769230758,2020-12-18 09:28:00,2020-12-18 09:52:00,0 days 00:54:00,4300.911151537628,240.82045454545468,-989.2156877173913
36,36,0 days 00:16:00,26255.649999999994,24.21729259124149,-1385.8444444444451,2020-12-18 23:00:00,2020-12-18 23:16:00,0 days 00:32:00,11252.865861374026,1412.7999999999988,-1849.7106556597532
37,37,0 days 00:26:00,18366.75,24.672373302508674,-187.23035714285757,2020-12-22 11:38:00,2020-12-22 12:04:00,0 days 01:02:00,-3473.785504817901,-201.73076923076923,-748.03188314045
38,38,0 days 00:20:00,16104.5,17.81011702456196,-238.0045454545457,2020-12-24 16:50:00,2020-12-24 17:10:00,0 days 03:40:00,-8586.295455175423,-199.2625,-2778.890180392309
39,39,0 days 00:16:00,12832.25,21.306924906258914,-180.98611111111111,2020-12-25 10:00:00,2020-12-25 10:16:00,0 days 00:42:00,6785.696649036676,-204.03125,-366.498189247691
40,40,0 days 00:16:00,11969.100000000006,17.4434466295328,-172.38611111111175,2020-12-27 10:20:00,2020-12-27 10:36:00,0 days 00:48:00,-4615.414010128516,-200.99687500000073,-1106.3089387889186
41,41,0 days 00:40:00,30056.175000000003,39.38868348587034,-429.42619047619036,2020-12-28 06:10:00,2020-12-28 06:50:00,0 days 01:34:00,-4471.528319498368,1126.994444444444,-2183.8900381279504
42,42,0 days 00:30:00,10810.574999999997,12.608525522450378,-325.7218750000002,2020-12-29 05:18:00,2020-12-29 05:48:00,0 days 00:36:00,-5182.352475566175,-335.59333333333296,2053.358746303434
43,43,0 days 00:16:00,13928.75,24.679015550238177,-220.00277777777794,2021-01-07 08:24:00,2021-01-07 08:40:00,0 days 00:42:00,3344.909855029531,-247.19375000000036,-315.93866422917847
44,44,0 days 00:12:00,10434.399999999994,13.49748128466932,-215.73571428571344,2021-01-07 12:18:00,2021-01-07 12:30:00,0 days 00:30:00,3622.9633391184184,-252.8208333333314,-144.38225783885594
45,45,0 days 00:26:00,42662.55,30.36466919631141,-789.2017857142865,2021-01-15 18:52:00,2021-01-15 19:18:00,0 days 00:42:00,5898.946408391726,1485.6041666666654,-800.557469270466
46,46,0 days 00:26:00,42662.55,30.36466919631141,-789.2017857142865,2021-01-15 18:52:00,2021-01-15 19:18:00,0 days 00:42:00,5898.946408391726,1485.6041666666654,-800.557469270466
47,47,0 days 01:00:00,68040.32499999998,42.874381466433576,-573.891129032258,2021-01-15 21:46:00,2021-01-15 22:46:00,1 days 00:06:00,60283.46171921335,1918.227777777778,-10965.122112137307
48,48,0 days 00:06:00,32356.75,26.303445926803874,7802.631250000002,2021-01-15 21:54:00,2021-01-15 22:00:00,0 days 00:06:00,-71889.54001272624,7802.631250000002,-5815.129891129642
49,49,0 days 00:08:00,14166.399999999994,9.910071404574438,-2962.3700000000013,2021-01-15 22:48:00,2021-01-15 22:56:00,0 days 23:02:00,41104.906054271036,-915.0,-290.47768215681936
50,50,0 days 00:24:00,10919.159459459457,18.302097460236737,-106.28076923076878,2021-01-21 06:50:00,2021-01-21 07:14:00,0 days 01:08:00,4024.883174524235,262.1415071770336,-21.672208438771122
51,51,0 days 00:32:00,19869.403846153844,26.66956969752036,-171.23823529411783,2021-01-21 09:46:00,2021-01-21 10:18:00,0 days 22:24:00,6846.030879836369,-190.34867788461543,-2834.5257756425726
52,52,0 days 00:14:00,9504.625,16.448477071380637,-276.13437499999964,2021-02-05 06:46:00,2021-02-05 07:00:00,0 days 00:16:00,-12538.986597834846,-217.09642857142794,3471.4208551271927
