,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
42,42,0 days 00:26:00,47156.925,32.52313872892168,-874.0303571428564,2021-01-15 18:50:00,2021-01-15 19:16:00,0
43,43,0 days 00:26:00,68040.32499999998,42.874381466433576,-1794.0214285714299,2021-01-15 21:46:00,2021-01-15 22:12:00,0
44,44,0 days 00:08:00,14166.399999999994,9.910071404574438,-2962.3700000000013,2021-01-15 22:48:00,2021-01-15 22:56:00,0
45,45,0 days 00:12:00,10919.159459459457,18.302097460236737,-705.0249999999994,2021-01-21 06:50:00,2021-01-21 07:02:00,0
46,46,0 days 00:12:00,19869.403846153844,26.66956969752036,-1119.1321428571432,2021-01-21 09:46:00,2021-01-21 09:58:00,0
47,47,0 days 00:10:00,9504.625,16.448477071380637,-535.7125000000002,2021-02-05 06:46:00,2021-02-05 06:56:00,0
48,48,0 days 00:10:00,9273.030303030304,7.598934396023651,-732.7958333333348,2021-02-14 01:04:00,2021-02-14 01:14:00,0
49,49,0 days 00:24:00,52754.7,48.72729187218054,-1392.315384615384,2021-03-08 22:10:00,2021-03-08 22:34:00,0
50,50,0 days 00:08:00,13933.999999999985,9.8030421511817,-1848.9200000000012,2021-03-10 19:46:00,2021-03-10 19:54:00,0
51,51,0 days 00:08:00,13095.200000000012,11.921501367037138,-1566.4350000000006,2021-03-11 22:14:00,2021-03-11 22:22:00,0
52,52,0 days 00:26:00,73323.74372759854,53.04842817837914,-964.3535714285707,2021-03-17 18:14:00,2021-03-17 18:40:00,0
53,53,0 days 00:12:00,59135.21621621621,58.78999185055755,-3530.5678571428557,2021-03-17 22:50:00,2021-03-17 23:02:00,0
54,54,0 days 00:06:00,5273.444871794869,7.12130637439526,-484.3000000000029,2021-03-17 23:04:00,2021-03-17 23:10:00,0
55,55,0 days 00:06:00,8509.341666666645,5.842344840473373,-1006.5875000000015,2021-03-20 16:56:00,2021-03-20 17:02:00,0
56,56,0 days 00:06:00,7450.9010869565245,5.215122156081293,-208.34375,2021-03-20 17:06:00,2021-03-20 17:12:00,0
