,date
355,2011-12-20
356,2011-12-13
357,2011-12-06
358,2011-12-06
359,2011-11-28
360,2011-11-24
361,2011-11-22
362,2011-11-11
363,2011-11-07
364,2011-11-01
365,2011-10-25
366,2011-10-21
367,2011-10-17
368,2011-10-14
369,2011-10-12
370,2011-10-04
371,2011-09-28
372,2011-09-21
373,2011-09-14
374,2011-09-09
375,2011-09-06
376,2011-09-02
377,2011-08-31
378,2011-08-23
379,2011-08-18
380,2011-08-17
381,2011-08-09
382,2011-07-26
383,2011-07-26
384,2011-07-25
385,2011-07-18
386,2011-07-12
387,2011-07-07
388,2011-07-05
389,2011-07-04
390,2011-06-30
391,2011-06-28
392,2011-06-23
393,2011-06-14
394,2011-06-07
395,2011-06-01
396,2011-05-25
397,2011-05-16
398,2011-05-03
399,2011-04-19
400,2011-04-19
401,2011-04-12
402,2011-04-12
403,2011-04-04
404,2011-03-28
405,2011-03-15
406,2011-03-11
407,2011-03-08
408,2011-03-01
409,2011-02-21
410,2011-02-21
411,2011-02-15
412,2011-02-09
413,2011-02-01
414,2011-01-17
415,2011-01-10
416,2011-01-04
417,2010-12-20
418,2010-12-20
419,2010-12-14
420,2010-12-07
421,2010-12-01
422,2010-12-01
423,2010-11-25
424,2010-11-24
425,2010-11-24
426,2010-11-24
427,2010-11-09
428,2010-11-02
429,2010-10-18
430,2010-10-18
431,2010-10-18
432,2010-10-12
433,2010-10-12
434,2010-10-06
435,2010-09-21
436,2010-09-15
437,2010-09-07
438,2010-09-03
439,2010-09-01
440,2010-08-27
441,2010-08-25
442,2010-08-23
443,2010-08-20
444,2010-08-19
445,2010-08-10
446,2010-08-04
447,2010-08-04
448,2010-07-19
449,2010-07-05
450,2010-06-25
451,2010-06-24
452,2010-06-24
453,2010-06-15
454,2010-06-14
455,2010-06-14
456,2010-06-09
457,2010-05-27
458,2010-05-25
459,2010-05-25
460,2010-05-25
461,2010-05-13
462,2010-05-13
463,2010-04-28
464,2010-04-21
465,2010-04-15
466,2010-04-12
467,2010-03-29
468,2010-03-23
469,2010-03-15
470,2010-03-15
471,2010-03-12
472,2010-03-03
473,2010-03-03
474,2010-03-03
475,2010-03-03
476,2010-02-22
477,2010-02-16
478,2010-02-08
479,2010-02-08
480,2010-02-08
481,2010-02-01
482,2010-02-01
483,2010-02-01
484,2010-02-01
485,2010-01-19
486,2010-01-19
487,2010-01-11
488,2009-12-21
489,2009-12-15
490,2009-12-08
491,2009-12-03
492,2009-11-17
493,2009-11-11
494,2009-11-09
495,2009-10-26
496,2009-10-26
497,2009-10-20
498,2009-10-20
499,2009-10-13
500,2009-10-07
501,2009-10-07
502,2009-09-23
503,2009-09-17
504,2009-09-17
505,2009-09-09
506,2009-09-02
507,2009-09-02
508,2009-09-02
509,2009-08-18
510,2009-08-18
511,2009-08-10
512,2009-07-28
513,2009-07-28
514,2009-07-21
515,2009-07-17
516,2009-07-15
517,2009-07-15
518,2009-07-08
519,2009-06-22
520,2009-06-16
521,2009-06-09
522,2009-06-02
523,2009-05-27
524,2009-05-21
525,2009-05-19
526,2009-05-06
527,2009-05-06
528,2009-04-28
529,2009-04-21
530,2009-04-08
531,2009-04-01
532,2009-03-25
533,2009-03-17
534,2009-03-17
535,2009-03-03
536,2009-02-25
537,2009-02-25
538,2009-02-17
539,2009-02-16
540,2009-02-10
541,2009-01-27
542,2009-01-20
543,2009-01-16
544,2009-01-13
545,2009-01-06
546,2008-12-16
547,2008-12-16
548,2008-12-09
549,2008-12-09
550,2008-12-09
551,2008-12-09
552,2008-11-26
553,2008-11-26
554,2008-11-25
555,2008-11-19
556,2008-11-11
557,2008-10-28
558,2008-10-15
