,group,timespan,magnitude,drop,shape,startdate,enddate
42,42,0 days 03:06:00,7042.452440033086,99.03782044153782,-34.52416013437851,2020-10-20 02:54:00,2020-10-20 06:00:00
43,43,0 days 00:16:00,1045.7055555555544,10.406785002446512,-15.527065527065538,2020-10-24 14:34:00,2020-10-24 14:50:00
44,44,0 days 00:34:00,6341.193452380952,73.75726965576449,-81.25925925925932,2020-11-02 22:04:00,2020-11-02 22:38:00
45,45,0 days 02:02:00,6842.825,99.98538828798223,-43.87270797962648,2020-11-03 04:00:00,2020-11-03 06:02:00
46,46,0 days 00:56:00,9022.671328671328,75.96562758506997,-52.36074270557031,2020-11-09 18:32:00,2020-11-09 19:28:00
47,47,0 days 00:24:00,957.4109311740885,17.715447720886388,-40.61346153846149,2020-11-16 09:22:00,2020-11-16 09:46:00
48,48,0 days 03:46:00,11355.008012820514,99.93124506374816,-67.80951481574746,2020-11-25 03:52:00,2020-11-25 07:38:00
49,49,0 days 00:28:00,3126.614551083591,54.09811081821332,-28.941666666666666,2020-11-25 08:36:00,2020-11-25 09:04:00
50,50,0 days 00:04:00,1662.7805429864252,38.52870928779325,392.3092006033182,2020-11-25 08:40:00,2020-11-25 08:44:00
51,51,0 days 00:42:00,3927.800921658986,78.81543380387131,-53.568660287081336,2020-11-25 10:00:00,2020-11-25 10:42:00
52,52,0 days 00:52:00,2953.9618055555557,43.94268872699926,-66.28869895536563,2020-11-26 11:14:00,2020-11-26 12:06:00
53,53,0 days 00:58:00,11927.0,95.54594248177521,-64.36784313725487,2020-11-27 18:52:00,2020-11-27 19:50:00
54,54,0 days 00:56:00,8999.8,81.9474796037296,-70.47254283461183,2020-11-28 00:12:00,2020-11-28 01:08:00
55,55,0 days 00:06:00,2008.8618421052633,38.533868745046775,-475.01874999999995,2020-12-02 11:14:00,2020-12-02 11:20:00
56,56,0 days 00:24:00,5363.455465587044,92.24764475868939,-61.846548323471396,2020-12-02 14:06:00,2020-12-02 14:30:00
57,57,0 days 00:16:00,3742.0633928571433,66.3526753146088,-116.18713450292398,2020-12-02 15:02:00,2020-12-02 15:18:00
58,58,0 days 00:22:00,2226.2000000000007,26.683553811793573,-25.345833333333303,2020-12-02 16:50:00,2020-12-02 17:12:00
59,59,0 days 00:58:00,2621.175,45.983106152307776,-13.640064102564095,2020-12-04 12:24:00,2020-12-04 13:22:00
60,60,0 days 00:18:00,8093.4400000000005,95.38032205754799,-157.78000000000003,2020-12-09 14:22:00,2020-12-09 14:40:00
61,61,0 days 02:20:00,8318.108108108108,100.0,-93.62657999277738,2020-12-13 10:04:00,2020-12-13 12:24:00
62,62,0 days 00:12:00,3231.314285714285,22.875450799860033,-419.02029784886923,2020-12-13 16:14:00,2020-12-13 16:26:00
63,63,0 days 00:10:00,3487.545454545455,33.226705160591834,49.84264520202032,2020-12-13 17:34:00,2020-12-13 17:44:00
64,64,0 days 00:28:00,11091.149758454107,80.72008139977231,-174.22414141414143,2020-12-13 19:36:00,2020-12-13 20:04:00
65,65,0 days 00:06:00,1217.1756410256403,9.89169528397818,53.09440789473683,2020-12-13 20:02:00,2020-12-13 20:08:00
66,66,0 days 00:04:00,1240.0723684210534,9.317109748930221,211.35110211426036,2020-12-13 20:08:00,2020-12-13 20:12:00
67,67,0 days 00:06:00,860.7179487179492,6.789630279874032,-62.76923076923049,2020-12-13 20:22:00,2020-12-13 20:28:00
68,68,0 days 00:14:00,2005.0192307692305,14.506786511851175,47.49991987179487,2020-12-13 20:22:00,2020-12-13 20:36:00
69,69,0 days 00:18:00,2545.8942307692305,17.726445291133658,108.88493589743594,2020-12-13 20:22:00,2020-12-13 20:40:00
70,70,0 days 00:08:00,1147.2250000000004,7.966383870368546,102.84102564102541,2020-12-13 20:44:00,2020-12-13 20:52:00
71,71,0 days 00:10:00,1049.125,7.1566097810126905,-3.0492521367523295,2020-12-13 21:14:00,2020-12-13 21:24:00
72,72,0 days 00:18:00,2788.0641025641035,17.219307059655392,-179.8125,2020-12-13 21:36:00,2020-12-13 21:54:00
73,73,0 days 01:50:00,13204.014742014742,99.68771268602521,-40.58750000000017,2020-12-13 21:56:00,2020-12-13 23:46:00
74,74,0 days 01:10:00,18315.0,95.47516029818068,-88.11646825396822,2020-12-17 19:50:00,2020-12-17 21:00:00
75,75,0 days 00:10:00,3813.20227920228,19.50540822671867,-667.445295870583,2020-12-18 20:10:00,2020-12-18 20:20:00
76,76,0 days 02:44:00,19518.017094017094,99.83915442181065,-47.959853934795476,2020-12-18 20:10:00,2020-12-18 22:54:00
77,77,0 days 00:08:00,1340.5818181818177,10.241344992565388,-291.39279279279253,2020-12-18 23:24:00,2020-12-18 23:32:00
78,78,0 days 00:06:00,963.875,4.49086800540465,55.212499999999636,2020-12-19 19:54:00,2020-12-19 20:00:00
79,79,0 days 00:06:00,1528.0736486486494,7.0653711527911724,-380.5749999999998,2020-12-19 20:06:00,2020-12-19 20:12:00
80,80,0 days 00:06:00,1128.4749999999985,6.102017062774834,-62.318749999999454,2020-12-19 20:32:00,2020-12-19 20:38:00
81,81,0 days 00:10:00,2581.7750000000015,12.91278111628769,135.67948717948698,2020-12-19 20:36:00,2020-12-19 20:46:00
82,82,0 days 00:08:00,1939.8993589743586,10.133740570283535,194.45128205128202,2020-12-19 20:50:00,2020-12-19 20:58:00
83,83,0 days 00:06:00,1559.8473684210549,7.7782560199462125,157.80735492577605,2020-12-19 21:08:00,2020-12-19 21:14:00
84,84,0 days 00:04:00,1048.8358974358998,5.167586578924443,159.80833333333308,2020-12-19 21:18:00,2020-12-19 21:22:00
85,85,0 days 00:08:00,3780.4910256410258,18.340457654526304,-682.225,2020-12-20 04:14:00,2020-12-20 04:22:00
86,86,0 days 01:00:00,21474.782608695652,96.73420225423281,-182.64354838709693,2020-12-20 20:08:00,2020-12-20 21:08:00
87,87,0 days 01:00:00,18471.166666666668,88.76883274996196,-102.8662046148143,2020-12-21 18:50:00,2020-12-21 19:50:00
88,88,0 days 00:36:00,13535.125,85.19448680001196,-187.5,2020-12-22 05:24:00,2020-12-22 06:00:00
89,89,0 days 00:08:00,2039.2291666666679,10.360401363280346,-305.09022869022886,2020-12-22 20:08:00,2020-12-22 20:16:00
90,90,0 days 00:10:00,1701.5058275058254,9.59218754455604,-137.60576441102725,2020-12-22 20:30:00,2020-12-22 20:40:00
91,91,0 days 00:14:00,1327.0933333333332,83.13384840258927,175.29166666666666,2020-12-23 03:04:00,2020-12-23 03:18:00
92,92,0 days 00:04:00,1358.98,27.346413120032196,579.3266666666667,2020-12-23 03:28:00,2020-12-23 03:32:00
93,93,0 days 00:18:00,4024.8888888888887,80.99182792813943,-150.15147058823533,2020-12-23 03:32:00,2020-12-23 03:50:00
94,94,0 days 00:06:00,3736.228260869565,92.86065485195591,-912.6226851851852,2020-12-23 03:48:00,2020-12-23 03:54:00
95,95,0 days 00:08:00,3332.0,92.06327277750916,48.41428571428569,2020-12-23 03:52:00,2020-12-23 04:00:00
96,96,0 days 00:06:00,1021.9619047619053,9.569145022851416,133.47172619047615,2020-12-23 04:50:00,2020-12-23 04:56:00
97,97,0 days 00:22:00,5486.0,50.63221042916474,-122.56944444444434,2020-12-23 05:06:00,2020-12-23 05:28:00
98,98,0 days 00:58:00,10234.333333333334,97.88000510073961,-88.91844532279316,2020-12-23 06:00:00,2020-12-23 06:58:00
99,99,0 days 00:06:00,798.8650793650795,10.1104386912086,32.902500000000146,2020-12-23 07:08:00,2020-12-23 07:14:00
100,100,0 days 00:14:00,2763.2458333333334,38.98521195647062,-77.47389162561569,2020-12-23 09:02:00,2020-12-23 09:16:00
101,101,0 days 00:04:00,1594.7487922705313,25.770367820237496,621.205615942029,2020-12-23 09:06:00,2020-12-23 09:10:00
102,102,0 days 00:10:00,1252.1871657754,12.663239458251567,33.55335968379435,2020-12-23 12:38:00,2020-12-23 12:48:00
103,103,0 days 00:08:00,1105.9702380952385,8.643029123467727,13.447570332480973,2020-12-23 14:54:00,2020-12-23 15:02:00
104,104,0 days 00:12:00,1955.2929292929293,13.395920615741488,-129.73174603174604,2020-12-23 17:54:00,2020-12-23 18:06:00
105,105,0 days 00:06:00,1533.0075187969924,11.19520586681719,-68.54166666666652,2020-12-23 18:14:00,2020-12-23 18:20:00
106,106,0 days 00:06:00,959.0083333333332,7.285152231644048,-33.85227272727252,2020-12-23 18:48:00,2020-12-23 18:54:00
107,107,0 days 00:08:00,1326.2222222222208,10.15276785410498,-266.82929292929293,2020-12-23 18:56:00,2020-12-23 19:04:00
