event_id,timestamp,count,provider
2,1515060508.0,6,azure
2,1515061408.0,3,azure
21,1515061871.0,1,aws
2,1515062308.0,0,azure
21,1515062771.0,0,aws
2,1515063208.0,0,azure
21,1515063671.0,0,aws
2,1515064108.0,2,azure
21,1515064571.0,1,aws
2,1515065008.0,0,azure
21,1515065471.0,0,aws
2,1515065908.0,6,azure
21,1515066371.0,0,aws
2,1515066808.0,0,azure
21,1515067271.0,1,aws
2,1515067708.0,0,azure
21,1515068171.0,1,aws
2,1515068608.0,0,azure
21,1515069071.0,1,aws
2,1515069508.0,7,azure
21,1515069971.0,0,aws
2,1515070408.0,0,azure
21,1515070871.0,0,aws
2,1515071308.0,0,azure
21,1515071771.0,0,aws
2,1515072208.0,0,azure
21,1515072671.0,2,aws
2,1515073108.0,0,azure
21,1515073571.0,1,aws
2,1515074008.0,0,azure
21,1515074471.0,2,aws
2,1515074908.0,0,azure
21,1515075371.0,0,aws
2,1515075808.0,2,azure
21,1515076271.0,1,aws
2,1515076708.0,5,azure
21,1515077171.0,2,aws
2,1515077608.0,3,azure
21,1515078071.0,10,aws
2,1515078508.0,6,azure
21,1515078971.0,6,aws
2,1515079408.0,0,azure
21,1515079871.0,4,aws
2,1515080308.0,2,azure
21,1515080771.0,2,aws
2,1515081208.0,3,azure
21,1515081671.0,1,aws
2,1515082108.0,1,azure
21,1515082571.0,2,aws
2,1515083008.0,2,azure
21,1515083471.0,6,aws
2,1515083908.0,5,azure
21,1515084371.0,1,aws
2,1515084808.0,4,azure
21,1515085271.0,4,aws
2,1515085708.0,3,azure
21,1515086171.0,3,aws
2,1515086608.0,2,azure
21,1515087071.0,2,aws
2,1515087508.0,5,azure
21,1515087971.0,2,aws
2,1515088408.0,2,azure
21,1515088871.0,2,aws
2,1515089308.0,8,azure
21,1515089771.0,2,aws
2,1515090208.0,4,azure
21,1515090671.0,1,aws
2,1515091108.0,14,azure
21,1515091571.0,7,aws
2,1515092008.0,5,azure
21,1515092471.0,1,aws
2,1515092908.0,5,azure
21,1515093371.0,3,aws
2,1515093808.0,13,azure
21,1515094271.0,3,aws
2,1515094708.0,1,azure
21,1515095171.0,1,aws
2,1515095608.0,6,azure
21,1515096071.0,3,aws
2,1515096508.0,1,azure
21,1515096971.0,2,aws
2,1515097408.0,3,azure
21,1515097871.0,3,aws
2,1515098308.0,4,azure
21,1515098771.0,3,aws
2,1515099208.0,5,azure
21,1515099671.0,0,aws
2,1515100108.0,3,azure
21,1515100571.0,4,aws
2,1515101008.0,3,azure
21,1515101471.0,5,aws
2,1515101908.0,3,azure
21,1515102371.0,2,aws
2,1515102808.0,4,azure
21,1515103271.0,2,aws
2,1515103708.0,5,azure
21,1515104171.0,3,aws
2,1515104608.0,1,azure
21,1515105071.0,33,aws
2,1515105508.0,6,azure
21,1515105971.0,57,aws
2,1515106408.0,3,azure
21,1515106871.0,23,aws
2,1515107308.0,4,azure
21,1515107771.0,10,aws
2,1515108208.0,7,azure
21,1515108671.0,6,aws
2,1515109108.0,2,azure
21,1515109571.0,2,aws
2,1515110008.0,6,azure
21,1515110471.0,2,aws
2,1515110908.0,22,azure
21,1515111371.0,3,aws
2,1515111808.0,24,azure
21,1515112271.0,3,aws
2,1515112708.0,20,azure
21,1515113171.0,1,aws
2,1515113608.0,19,azure
21,1515114071.0,0,aws
2,1515114508.0,8,azure
21,1515114971.0,0,aws
2,1515115408.0,11,azure
21,1515115871.0,0,aws
2,1515116308.0,4,azure
21,1515116771.0,2,aws
2,1515117208.0,7,azure
21,1515117671.0,0,aws
2,1515118108.0,9,azure
21,1515118571.0,0,aws
2,1515119008.0,6,azure
21,1515119471.0,0,aws
2,1515119908.0,8,azure
21,1515120371.0,1,aws
2,1515120808.0,3,azure
21,1515121271.0,1,aws
2,1515121708.0,2,azure
21,1515122171.0,0,aws
2,1515122608.0,1,azure
21,1515123071.0,2,aws
2,1515123508.0,0,azure
21,1515123971.0,1,aws
2,1515124408.0,0,azure
21,1515124871.0,1,aws
2,1515125308.0,1,azure
21,1515125771.0,0,aws
2,1515126208.0,0,azure
21,1515126671.0,1,aws
2,1515127108.0,3,azure
21,1515127571.0,0,aws
2,1515128008.0,1,azure
21,1515128471.0,0,aws
2,1515128908.0,0,azure
21,1515129371.0,0,aws
2,1515129808.0,0,azure
21,1515130271.0,1,aws
2,1515130708.0,0,azure
21,1515131171.0,2,aws
2,1515131608.0,0,azure
21,1515132071.0,0,aws
2,1515132508.0,3,azure
21,1515132971.0,0,aws
2,1515133408.0,0,azure
21,1515133871.0,0,aws
2,1515134308.0,0,azure
21,1515134771.0,1,aws
2,1515135208.0,0,azure
21,1515135671.0,0,aws
2,1515136108.0,0,azure
21,1515136571.0,0,aws
2,1515137008.0,1,azure
21,1515137471.0,0,aws
2,1515137908.0,1,azure
21,1515138371.0,0,aws
2,1515138808.0,2,azure
21,1515139271.0,0,aws
2,1515139708.0,1,azure
