,group,timespan,magnitude,drop,shape,startdate,enddate
42,42,0 days 00:22:00,8346.657894736842,79.3736157859833,-240.78030814215012,2020-10-19 17:52:00,2020-10-19 18:14:00
43,43,0 days 00:24:00,7287.839285714286,73.41339295832665,-193.58461538461535,2020-10-19 21:44:00,2020-10-19 22:08:00
44,44,0 days 00:08:00,2183.7639358607103,30.710213864853998,-445.94842819778313,2020-10-20 02:54:00,2020-10-20 03:02:00
45,45,0 days 00:10:00,1045.7055555555544,10.406785002446512,-48.05769230769238,2020-10-24 14:34:00,2020-10-24 14:44:00
46,46,0 days 00:10:00,6341.193452380952,73.75726965576449,-415.3290598290599,2020-11-02 22:04:00,2020-11-02 22:14:00
47,47,0 days 00:06:00,1585.7364285714284,23.1703240303694,-429.2673308270678,2020-11-03 04:00:00,2020-11-03 04:06:00
48,48,0 days 02:02:00,6842.825,99.98538828798223,-43.87270797962648,2020-11-03 04:00:00,2020-11-03 06:02:00
49,49,0 days 00:32:00,9022.671328671328,75.96562758506997,-180.74539969834083,2020-11-09 18:32:00,2020-11-09 19:04:00
50,50,0 days 00:16:00,715.408058608059,12.608132333925752,-29.47222222222222,2020-11-13 08:26:00,2020-11-13 08:42:00
51,51,0 days 00:24:00,957.4109311740885,17.715447720886388,-40.61346153846149,2020-11-16 09:22:00,2020-11-16 09:46:00
52,52,0 days 00:12:00,3126.614551083591,54.09811081821332,-141.46309523809526,2020-11-25 08:36:00,2020-11-25 08:48:00
53,53,0 days 00:12:00,3126.614551083591,54.09811081821332,-141.46309523809526,2020-11-25 08:36:00,2020-11-25 08:48:00
54,54,0 days 00:18:00,3927.800921658986,78.81543380387131,-185.9351551956815,2020-11-25 10:00:00,2020-11-25 10:18:00
55,55,0 days 00:04:00,1829.0785773366417,63.4035486508773,586.6901709401709,2020-11-25 10:04:00,2020-11-25 10:08:00
56,56,0 days 00:52:00,2953.9618055555557,43.94268872699926,-66.28869895536563,2020-11-26 11:14:00,2020-11-26 12:06:00
57,57,0 days 00:22:00,1195.6710526315783,11.930165907172324,20.504560810810897,2020-11-26 15:46:00,2020-11-26 16:08:00
58,58,0 days 00:36:00,11927.0,95.54594248177521,-222.1352226720647,2020-11-27 18:52:00,2020-11-27 19:28:00
59,59,0 days 00:30:00,8999.8,81.9474796037296,-218.00504807692312,2020-11-28 00:12:00,2020-11-28 00:42:00
60,60,0 days 00:06:00,2008.8618421052633,38.533868745046775,-475.01874999999995,2020-12-02 11:14:00,2020-12-02 11:20:00
61,61,0 days 00:14:00,5363.455465587044,92.24764475868939,-218.385016025641,2020-12-02 14:06:00,2020-12-02 14:20:00
62,62,0 days 00:10:00,3742.0633928571433,66.3526753146088,-282.68454790823216,2020-12-02 15:02:00,2020-12-02 15:12:00
63,63,0 days 00:14:00,2226.2000000000007,26.683553811793573,-82.734375,2020-12-02 16:50:00,2020-12-02 17:04:00
64,64,0 days 00:14:00,856.7250000000004,7.401288082001841,-1.671875,2020-12-03 21:58:00,2020-12-03 22:12:00
65,65,0 days 00:52:00,2621.175,45.983106152307776,-30.328703703703702,2020-12-04 12:24:00,2020-12-04 13:16:00
66,66,0 days 00:10:00,8093.4400000000005,95.38032205754799,-444.1958333333334,2020-12-09 14:22:00,2020-12-09 14:32:00
67,67,0 days 00:08:00,8314.486486486487,99.95646099359912,-1779.4756756756756,2020-12-13 10:04:00,2020-12-13 10:12:00
68,68,0 days 00:08:00,2331.4,99.38190033675775,469.18,2020-12-13 12:12:00,2020-12-13 12:20:00
69,69,0 days 00:12:00,3231.314285714285,22.875450799860033,-419.02029784886923,2020-12-13 16:14:00,2020-12-13 16:26:00
70,70,0 days 00:08:00,844.328431372549,7.976713071643289,-155.58708133971268,2020-12-13 16:42:00,2020-12-13 16:50:00
71,71,0 days 00:12:00,3487.545454545455,33.226705160591834,48.74012445887456,2020-12-13 17:32:00,2020-12-13 17:44:00
72,72,0 days 00:26:00,11091.149758454107,80.72008139977231,-145.2276515151516,2020-12-13 19:36:00,2020-12-13 20:02:00
73,73,0 days 00:32:00,11091.149758454107,80.72008139977231,-95.97996997842208,2020-12-13 19:36:00,2020-12-13 20:08:00
74,74,0 days 00:04:00,1240.0723684210534,9.317109748930221,211.35110211426036,2020-12-13 20:08:00,2020-12-13 20:12:00
75,75,0 days 00:10:00,1111.7948717948711,8.599881394624674,23.978952991452996,2020-12-13 20:18:00,2020-12-13 20:28:00
76,76,0 days 00:18:00,2005.0192307692305,14.506786511851175,77.49499999999989,2020-12-13 20:18:00,2020-12-13 20:36:00
77,77,0 days 00:22:00,2545.8942307692305,17.726445291133658,123.64999999999993,2020-12-13 20:18:00,2020-12-13 20:40:00
78,78,0 days 00:26:00,2545.8942307692305,17.726445291133658,75.10357142857136,2020-12-13 20:18:00,2020-12-13 20:44:00
79,79,0 days 00:32:00,2584.594230769231,17.94754280236883,49.5514705882353,2020-12-13 20:18:00,2020-12-13 20:50:00
80,80,0 days 00:12:00,1067.420512820514,7.272336597168248,2.8808608058607206,2020-12-13 21:12:00,2020-12-13 21:24:00
81,81,0 days 00:42:00,2788.0641025641035,17.219307059655392,-54.68108974358975,2020-12-13 21:12:00,2020-12-13 21:54:00
82,82,0 days 00:14:00,6220.32156019656,46.96220358906885,-801.4147727272727,2020-12-13 21:56:00,2020-12-13 22:10:00
83,83,0 days 01:30:00,13204.014742014742,99.68771268602521,-101.4304347826089,2020-12-13 21:56:00,2020-12-13 23:26:00
84,84,0 days 01:30:00,13204.014742014742,99.68771268602521,-101.4304347826089,2020-12-13 21:56:00,2020-12-13 23:26:00
85,85,0 days 00:16:00,659.7000000000007,6.292685718646268,-24.352188552188537,2020-12-14 14:06:00,2020-12-14 14:22:00
86,86,0 days 00:44:00,18315.0,95.47516029818068,-278.16708074534154,2020-12-17 19:50:00,2020-12-17 20:34:00
87,87,0 days 00:44:00,18315.0,95.47516029818068,-278.16708074534154,2020-12-17 19:50:00,2020-12-17 20:34:00
88,88,0 days 00:14:00,4114.253561253561,20.726182736206383,-516.9387464387464,2020-12-18 20:06:00,2020-12-18 20:20:00
89,89,0 days 02:24:00,19819.068376068375,99.84159379292231,-91.2060853530032,2020-12-18 20:06:00,2020-12-18 22:30:00
90,90,0 days 00:08:00,1340.5818181818177,10.241344992565388,-291.39279279279253,2020-12-18 23:24:00,2020-12-18 23:32:00
91,91,0 days 00:06:00,963.875,4.49086800540465,55.212499999999636,2020-12-19 19:54:00,2020-12-19 20:00:00
92,92,0 days 00:06:00,1528.0736486486494,7.0653711527911724,-380.5749999999998,2020-12-19 20:06:00,2020-12-19 20:12:00
93,93,0 days 00:12:00,1394.3887733887714,7.043325259477413,-146.4968864468865,2020-12-19 20:16:00,2020-12-19 20:28:00
94,94,0 days 00:06:00,1128.4749999999985,6.102017062774834,-62.318749999999454,2020-12-19 20:32:00,2020-12-19 20:38:00
95,95,0 days 00:10:00,2581.7750000000015,12.91278111628769,135.67948717948698,2020-12-19 20:36:00,2020-12-19 20:46:00
96,96,0 days 00:08:00,1939.8993589743586,10.133740570283535,194.45128205128202,2020-12-19 20:50:00,2020-12-19 20:58:00
97,97,0 days 00:06:00,1559.8473684210549,7.7782560199462125,157.80735492577605,2020-12-19 21:08:00,2020-12-19 21:14:00
98,98,0 days 00:14:00,1802.3358974358998,8.880061043937246,79.50088141025617,2020-12-19 21:08:00,2020-12-19 21:22:00
